Time: 1616656663, System 1, ERROR: Ping timed out.
Time: 1616656674, System 1, ERROR: Ping timed out.
Time: 1616656683, System 1, ERROR: Ping timed out.
Time: 1616656693, System 1, ERROR: Ping timed out.
Time: 1616656704, System 1, ERROR: Ping timed out.
Time: 1616656714, System 1, ERROR: Ping timed out.
Time: 1616656724, System 1, ERROR: Ping timed out.
Time: 1616656735, System 1, ERROR: Ping timed out.
Time: 1616656744, System 1, ERROR: Ping timed out.
Time: 1616656754, System 1, ERROR: Ping timed out.
Time: 1616656764, System 1, ERROR: Ping timed out.
Time: 1616656775, System 1, ERROR: Ping timed out.
Time: 1616656785, System 1, ERROR: Ping timed out.
Time: 1616656794, System 1, ERROR: Ping timed out.
Time: 1616656805, System 1, ERROR: Ping timed out.
Time: 1616656815, System 1, ERROR: Ping timed out.
Time: 1616656825, System 1, ERROR: Ping timed out.
Time: 1616656835, System 1, ERROR: Ping timed out.
Time: 1616656845, System 1, ERROR: Ping timed out.
Time: 1616656855, System 1, ERROR: Ping timed out.
Time: 1616656865, System 1, ERROR: Ping timed out.
Time: 1616656902, System 2, Ping: 1147
Time: 1616656912, System 2, Ping: 1083
Time: 1616656927, System 2, ERROR: Ping timed out.
Time: 1616656937, System 2, ERROR: Ping timed out.
Time: 1616656947, System 2, ERROR: Ping timed out.
Time: 1616656957, System 2, ERROR: Ping timed out.
Time: 1616656967, System 2, ERROR: Ping timed out.
Time: 1616656977, System 2, ERROR: Ping timed out.
Time: 1616656988, System 2, ERROR: Ping timed out.
Time: 1616656998, System 2, ERROR: Ping timed out.
Time: 1616657084, System 2, Ping: 1071
Time: 1616657094, System 2, Ping: 947
Time: 1616657095, System 1, Ping: 887
Time: 1616657105, System 2, Ping: 1039
Time: 1616657105, System 1, Ping: 863
Time: 1616657114, System 2, Ping: 678
Time: 1616657116, System 1, Ping: 1247
Time: 1616657125, System 2, Ping: 904
Time: 1616657125, System 1, Ping: 643
Time: 1616657135, System 2, Ping: 1511
Time: 1616657136, System 1, Ping: 555
Time: 1616657144, System 2, Ping: 647
Time: 1616657146, System 1, Ping: 1255
Time: 1616657155, System 2, Ping: 718
Time: 1616657156, System 1, Ping: 1288
Time: 1616657165, System 2, Ping: 794
Time: 1616657167, System 1, Ping: 1728
Time: 1616657175, System 2, Ping: 1232
Time: 1616657177, System 1, Ping: 971
Time: 1616657185, System 2, Ping: 856
Time: 1616657187, System 1, Ping: 1211
Time: 1616657196, System 2, Ping: 1029
Time: 1616657197, System 1, Ping: 884
Time: 1616657205, System 2, Ping: 636
Time: 1616657206, System 1, Ping: 859
Time: 1616657216, System 2, Ping: 956
Time: 1616657217, System 1, Ping: 1140
Time: 1616657225, System 2, Ping: 545
Time: 1616657226, System 1, Ping: 814
Time: 1616657236, System 2, Ping: 854
Time: 1616657236, System 1, Ping: 585
Time: 1616657246, System 2, Ping: 944
Time: 1616657247, System 1, Ping: 1207
Time: 1616657256, System 2, Ping: 866
Time: 1616657257, System 1, Ping: 885
Time: 1616657266, System 2, Ping: 1328
Time: 1616657268, System 1, Ping: 1047
Time: 1616657276, System 2, Ping: 574
Time: 1616657277, System 1, Ping: 763
Time: 1616657286, System 2, Ping: 1184
Time: 1616657288, System 1, Ping: 1246
Time: 1616657296, System 2, Ping: 1245
Time: 1616657298, System 1, Ping: 1078
Time: 1616657306, System 2, Ping: 944
Time: 1616657307, System 1, Ping: 955
Time: 1616657316, System 2, Ping: 420
Time: 1616657317, System 1, Ping: 1193
Time: 1616657327, System 2, Ping: 915
Time: 1616657328, System 1, Ping: 1148
Time: 1616657337, System 2, Ping: 738
Time: 1616657337, System 1, Ping: 708
Time: 1616657347, System 2, Ping: 1161
Time: 1616657348, System 1, Ping: 959
Time: 1616657363, System 2, ERROR: Ping timed out.
Time: 1616657364, System 1, Ping: 514
Time: 1616657367, System 2, Ping: 1032
Time: 1616657367, System 1, Ping: 412
Time: 1616657377, System 2, Ping: 543
Time: 1616657377, System 1, Ping: 627
Time: 1616657387, System 2, Ping: 962
Time: 1616657389, System 1, Ping: 1337
Time: 1616657398, System 2, Ping: 1040
Time: 1616657404, System 1, ERROR: Ping timed out.
Time: 1616657408, System 2, Ping: 1082
