system_id,m_epoch,r_acc_x,r_acc_y,r_acc_z,gyr_x,gyr_y,gyr_z,mag_x,mag_y,mag_z,q_w,q_i,q_j,q_k,roll,pitch,yaw
1,1626619736238,2.30092,-0.0437424,9.58006,-0.00634939,-0.0116825,0.0106156,-0.997003,0.189673,0.0570347,0.731346,-0.0785012,-0.0864844,-0.671931,0.0824588,-13.4145,-85.1608
1,1626619736438,2.306,-0.0956202,9.55985,0.00320524,-8.9407e-05,-0.0255764,-0.987602,0.177055,0.0554041,0.731084,-0.0785602,-0.0864801,-0.672209,0.0823018,-13.4188,-85.2048
1,1626619736639,2.32491,-0.0767158,9.52803,0.00743419,-0.00528693,-0.0128284,-0.982557,0.17944,0.0558899,0.730805,-0.0788583,-0.0863785,-0.672491,0.0540455,-13.4334,-85.2473
1,1626619736839,2.28719,-0.0596768,9.53332,0.0107825,-0.0212044,-0.0133157,-0.992089,0.192189,0.0599626,0.730474,-0.0790087,-0.0863024,-0.672842,0.0417135,-13.4387,-85.3015
1,1626619737040,2.29792,-0.0792701,9.54321,0.0134736,-0.00728369,0.00960082,-0.989832,0.182025,0.0552184,0.730189,-0.0792342,-0.0863441,-0.67312,0.0311004,-13.4598,-85.346
1,1626619737240,2.30966,-0.0630186,9.55768,0.00600517,-0.00336617,0.00499785,-0.985413,0.179873,0.0629846,0.729889,-0.0795287,-0.0863371,-0.673412,0.0109878,-13.4823,-85.3919
1,1626619737440,2.28256,-0.047758,9.51912,-0.000922382,0.00836551,-0.00650138,-0.984888,0.184714,0.0630447,0.729775,-0.0798097,-0.0860837,-0.673534,-0.0309787,-13.4828,-85.4062
1,1626619737641,2.32093,-0.094898,9.53673,0.00747591,0.0063166,-0.00498742,-0.982411,0.182078,0.0608116,0.729525,-0.0800649,-0.08604,-0.67378,-0.0515386,-13.499,-85.4443
1,1626619737841,2.31178,-0.0447105,9.55888,-0.0225231,0.00401884,-0.00631064,-0.984496,0.184321,0.05572,0.729279,-0.0802663,-0.0859637,-0.674032,-0.0700349,-13.5084,-85.4827
1,1626619738042,2.30886,-0.0679697,9.56824,0.00568181,0.0149712,0.00642985,-0.979191,0.186444,0.0513226,0.729067,-0.0804447,-0.0859657,-0.674241,-0.0810774,-13.5225,-85.5157
1,1626619738242,2.33368,-0.0869415,9.56283,0.00842065,0.0115931,-0.007011,-0.987104,0.187088,0.0603946,0.728844,-0.0804665,-0.085875,-0.674491,-0.0855216,-13.5166,-85.5538
1,1626619738442,2.29952,-0.070783,9.53585,0.00529289,-0.00337511,0.0109792,-0.986856,0.189422,0.0579759,0.728567,-0.0808698,-0.0856831,-0.674766,-0.130003,-13.532,-85.5935
1,1626619738643,2.30248,-0.0598448,9.56223,-0.0050202,-0.0132054,0.00430495,-0.982307,0.187139,0.063299,0.728289,-0.0809207,-0.0855479,-0.675076,-0.139352,-13.5246,-85.6405
1,1626619738843,2.30922,-0.0211589,9.5317,0.00775009,0.021255,-0.00737011,-0.988941,0.191665,0.0528843,0.728035,-0.0811409,-0.085638,-0.675313,-0.146275,-13.5495,-85.6795
1,1626619739044,2.32923,-0.092477,9.56227,0.0133857,-0.0108674,-0.0156164,-0.992251,0.179642,0.0574216,0.72778,-0.0812906,-0.0855614,-0.675579,-0.160094,-13.5549,-85.7205
1,1626619739244,2.30208,-0.104468,9.5405,-0.0182152,0.011836,-0.00939369,-0.992395,0.182369,0.0623276,0.727525,-0.0814389,-0.0852096,-0.675881,-0.195335,-13.5368,-85.7619
1,1626619739445,2.29852,-0.0641764,9.55085,0.000739098,0.00463277,-0.00729263,-0.987746,0.179782,0.0603111,0.727219,-0.0813733,-0.0849385,-0.676252,-0.204642,-13.5088,-85.8162
1,1626619739645,2.30247,-0.0764746,9.55388,0.0102267,0.00751465,0.00753999,-0.982494,0.192291,0.0657726,0.726822,-0.0814085,-0.0846472,-0.67671,-0.222471,-13.4871,-85.884
1,1626619739845,2.31396,-0.0761972,9.52369,0.00623167,0.0231087,0.0047937,-0.985165,0.182207,0.0605654,0.726492,-0.0815599,-0.0846656,-0.677045,-0.227459,-13.5007,-85.9377
1,1626619740046,2.33249,-0.0811685,9.55321,0.00385791,-0.00298768,0.0156134,-0.990237,0.185015,0.0650095,0.72615,-0.0816844,-0.0847062,-0.677391,-0.228156,-13.514,-85.9937
