Time: 1615432302, System 2, Ping: 1117
Time: 1615432313, System 2, Ping: 1221
Time: 1615432322, System 2, Ping: 746
Time: 1615432333, System 2, Ping: 1262
Time: 1615432343, System 2, Ping: 1003
Time: 1615432353, System 2, Ping: 1100
Time: 1615432363, System 2, Ping: 1177
Time: 1615432373, System 2, Ping: 1139
Time: 1615432383, System 2, Ping: 1106
Time: 1615432393, System 2, Ping: 1030
Time: 1615432403, System 2, Ping: 1038
Time: 1615432413, System 2, Ping: 573
Time: 1615432423, System 2, Ping: 608
Time: 1615432434, System 2, Ping: 1451
Time: 1615432444, System 2, Ping: 989
Time: 1615432454, System 2, Ping: 972
Time: 1615432464, System 2, Ping: 1024
Time: 1615432474, System 2, Ping: 1083
Time: 1615432484, System 2, Ping: 1177
Time: 1615432494, System 2, Ping: 1193
Time: 1615432504, System 2, Ping: 1212
Time: 1615432515, System 2, Ping: 1283
Time: 1615432525, System 2, Ping: 1170
Time: 1615432534, System 2, Ping: 740
Time: 1615432545, System 2, Ping: 1420
Time: 1615432555, System 2, Ping: 1127
Time: 1615432565, System 2, Ping: 1220
Time: 1615432575, System 2, Ping: 1191
Time: 1615432585, System 2, Ping: 1226
Time: 1615432595, System 2, Ping: 1220
Time: 1615432605, System 2, Ping: 1254
Time: 1615432616, System 2, Ping: 1248
Time: 1615432626, System 2, Ping: 1075
Time: 1615432636, System 2, Ping: 1109
Time: 1615432646, System 2, Ping: 1060
Time: 1615432656, System 2, Ping: 1022
Time: 1615432666, System 2, Ping: 1034
Time: 1615432676, System 2, Ping: 1057
Time: 1615432686, System 2, Ping: 1066
Time: 1615432696, System 2, Ping: 1010
Time: 1615432707, System 2, Ping: 1084
Time: 1615432717, System 2, Ping: 959
Time: 1615432727, System 2, Ping: 1359
Time: 1615432737, System 2, Ping: 971
Time: 1615432747, System 2, Ping: 956
Time: 1615432757, System 2, Ping: 987
Time: 1615432767, System 2, Ping: 1029
Time: 1615432777, System 2, Ping: 1073
Time: 1615432787, System 2, Ping: 1186
Time: 1615432797, System 2, Ping: 704
Time: 1615432807, System 2, Ping: 817
Time: 1615432818, System 2, Ping: 1283
Time: 1615432827, System 2, Ping: 964
Time: 1615432837, System 2, Ping: 994
Time: 1615432847, System 2, Ping: 748
Time: 1615432858, System 2, Ping: 1058
Time: 1615432868, System 2, Ping: 1036
Time: 1615432878, System 2, Ping: 1021
Time: 1615432888, System 2, Ping: 881
Time: 1615432899, System 2, Ping: 1308
Time: 1615432908, System 2, Ping: 940
Time: 1615432918, System 2, Ping: 809
Time: 1615432929, System 2, Ping: 1389
Time: 1615432938, System 2, Ping: 731
Time: 1615432948, System 2, Ping: 666
Time: 1615432959, System 2, Ping: 939
Time: 1615432969, System 2, Ping: 993
Time: 1615432979, System 2, Ping: 1036
Time: 1615432989, System 2, Ping: 874
Time: 1615433000, System 2, Ping: 1279
Time: 1615433010, System 2, Ping: 1078
Time: 1615433020, System 2, Ping: 995
Time: 1615433030, System 2, Ping: 809
Time: 1615433040, System 2, Ping: 1422
Time: 1615433050, System 2, Ping: 1102
Time: 1615433060, System 2, Ping: 1076
Time: 1615433070, System 2, Ping: 1178
Time: 1615433080, System 2, Ping: 692
Time: 1615497180, System 1, ERROR: Ping timed out.
Time: 1615497190, System 1, ERROR: Ping timed out.
Time: 1615497196, System 1, Ping: 1310
Time: 1615497210, System 1, ERROR: Ping timed out.
Time: 1615497220, System 1, ERROR: Ping timed out.
Time: 1615497230, System 1, ERROR: Ping timed out.
Time: 1615497240, System 1, ERROR: Ping timed out.
Time: 1615497250, System 1, ERROR: Ping timed out.
Time: 1615497261, System 1, ERROR: Ping timed out.
Time: 1615497271, System 1, ERROR: Ping timed out.
Time: 1615497281, System 1, ERROR: Ping timed out.
Time: 1615497291, System 1, ERROR: Ping timed out.
